iter	Logloss
0	0.6906687419
1	0.6884962718
2	0.6859842936
3	0.683053271
4	0.6800807317
5	0.6772427241
6	0.6743766785
7	0.6714491526
8	0.6682336807
9	0.6654145559
10	0.6636936824
11	0.661704127
12	0.6595576604
13	0.6580377579
14	0.6567142487
15	0.6535416921
16	0.6506876628
17	0.6481800715
18	0.6463657379
19	0.6452648163
20	0.6436454137
21	0.6398322423
22	0.6384579976
23	0.6350056966
24	0.6325319926
25	0.6295930227
26	0.6273757935
27	0.6262786865
28	0.6240942637
29	0.6215652466
30	0.6178057353
31	0.6161060969
32	0.6141958237
33	0.6122067769
34	0.6103186289
35	0.6086096446
36	0.6074012756
37	0.6045897166
38	0.603293101
39	0.601978302
40	0.600914065
41	0.599168841
42	0.5957768758
43	0.5934989929
44	0.5922170003
45	0.5906491597
46	0.5894185384
47	0.587885348
48	0.5859579086
49	0.5847187678
50	0.5833496094
51	0.582482783
52	0.5813749949
53	0.5799082438
54	0.5780888875
55	0.5766686757
56	0.5745868047
57	0.5725858053
58	0.5712523778
59	0.5704909643
60	0.5697505951
61	0.5682222366
62	0.5663466136
63	0.565047582
64	0.5622530619
65	0.561455218
66	0.5602367401
67	0.5590384165
68	0.5581225077
69	0.5561061859
70	0.554592514
71	0.5529816945
72	0.5519455592
73	0.5506842295
74	0.5497755051
75	0.5469628652
76	0.5462287903
77	0.544011879
78	0.5428396861
79	0.5419574738
80	0.5398935954
81	0.5390741984
82	0.5368996938
83	0.5355642955
84	0.5340236028
85	0.5332361221
86	0.5323209127
87	0.5314995448
88	0.5300930023
89	0.5275576591
90	0.5259181341
91	0.5247454325
92	0.5235891342
93	0.5223338445
94	0.5215830485
95	0.5209242503
96	0.5200142225
97	0.5190662384
98	0.517965126
99	0.5173137029
100	0.5158550262
101	0.5137132009
102	0.5129103978
103	0.5116807938
104	0.5110019684
105	0.5097056071
106	0.508479023
107	0.5079838435
108	0.5074577649
109	0.5056894938
110	0.5044778188
111	0.503947258
112	0.5036166509
113	0.5019736608
114	0.5010664622
115	0.4998076121
116	0.4991528511
117	0.4983306249
118	0.4973412514
119	0.4967160861
120	0.4954894066
121	0.4946980794
122	0.4931728045
123	0.4921465556
124	0.4911975861
125	0.4904715538
126	0.4901229223
127	0.488212808
128	0.4875339826
129	0.4853628794
130	0.4842891693
131	0.4837124507
132	0.4827673276
133	0.4827246984
134	0.4816476186
135	0.4805584908
136	0.4787438711
137	0.4772095998
138	0.4763097445
139	0.4753516515
140	0.474069341
141	0.473313268
142	0.4725862503
143	0.471601518
144	0.4706638972
145	0.4697177251
146	0.4683556557
147	0.4669585546
148	0.4650609334
149	0.4644682884
150	0.4637543043
151	0.4623233159
152	0.4603636424
153	0.4596220652
154	0.4586805979
155	0.456967926
156	0.4553860664
157	0.4542021434
158	0.4523524602
159	0.4498194377
160	0.4479156494
161	0.4469263395
162	0.4455446243
163	0.4441576004
164	0.4419179916
165	0.4407504082
166	0.4398613612
167	0.4390874863
168	0.4386982918
169	0.4372858047
170	0.4363644282
171	0.4344387372
172	0.4329376221
173	0.4316318512
174	0.4312018077
175	0.4297459284
176	0.4287482897
177	0.4274064382
178	0.4262649218
179	0.4253827413
180	0.4245171229
181	0.4229048093
182	0.4213015238
183	0.4205410957
184	0.4181505839
185	0.417253685
186	0.4166011175
187	0.4152199427
188	0.4143798192
189	0.413136673
190	0.4116668065
191	0.4106867472
192	0.4093676567
193	0.4082913399
194	0.4077716192
195	0.4072495778
196	0.4064422925
197	0.4054828008
198	0.404475975
199	0.4029319445
